yearmonth	lat	lon	family	familykey	genus	genuskey	species	specieskey
2010-07	41.008884	-6.43838	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2012-12	40.369043	-5.047188	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2015-01	42.310515	2.151601	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2019-01	43.368536	-3.4629	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2019-03	38.76	-0.53	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2019-11	38.66	-0.5	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2020-11	40.54	0.01	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2021-01	40.857	0.254	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2021-12	37.195215	-4.440927	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2022-02	39.460861	3.112483	Mustelidae	5307	Martes	2433765	Martes martes	5218878
2022-09	41.868	2.103	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2023-02	38.6878	-0.566483	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2010-08	38.712455	-0.532043	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2014-05	39.17	-1.18	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2015-01	42.040167	2.080965	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2018-05	39.75	-0.47	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2018-09	39.512305	2.767053	Mustelidae	5307	Martes	2433765	Martes martes	5218878
2019-03	38.75	-0.51	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2020-09	39.085827	-6.680122	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2021-03	38.2495	-1.0502	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2022-03	42.259	3.213	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2022-05	39.483093	-6.411237	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2022-05	40.659	0.653	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2022-07	40.41	-3.29	Mustelidae	5307	Martes	2433765	Martes foina	5218887
1996-03	39.77	-1.16	Mustelidae	5307	Martes	2433765	Martes foina	5218887
1996-06	39.27	-1.17	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2010-10	39.27	-0.84	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2018-06	39.43136	3.247236	Mustelidae	5307	Martes	2433765	Martes martes	5218878
2019-09	38.67	-0.43	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2020-12	38.54	-0.72	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2021-10	38.89	-0.43	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2022-01	42.333	1.065	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2022-07	41.056639	-3.538193	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2022-08	41.762	2.345	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2023-03	42.196	0.936	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2023-04	39.77	-0.76	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2023-06	42.705	0.711	Mustelidae	5307	Martes	2433765	Martes martes	5218878
2023-08	43.112175	-6.52961	Mustelidae	5307	Martes	2433765	Martes martes	5218878
2023-11	38.75	-0.51	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2023-11	42.259	3.189	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2010-06	43.412665	-3.593188	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2016-06	38.67	-0.55	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2019-07	39.700052	2.688996	Mustelidae	5307	Martes	2433765	Martes martes	5218878
2020-06	41.962	3.152	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2021-03	43.171821	-2.154179	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2021-09	39.85	-0.91	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2023-03	40.125306	-5.864582	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2023-08	43.440119	-4.957652	Mustelidae	5307	Martes	2433765	Martes martes	5218878
2009-06	38.67	-0.53	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2015-05	40.6	-0.23	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2017-01	39.94	-0.59	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2017-03	38.91	-0.31	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2017-07	39.642517	3.060021	Mustelidae	5307	Martes	2433765	Martes martes	5218878
2021-06	38.69	-0.63	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2021-10	39.5	-1.09	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2022-01	42.051	0.892	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2022-02	38.57	-0.53	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2022-04	42.041472	-8.778935	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2022-05	41.936	1.656	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2022-09	36.386635	-5.368933	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2022-09	43.468924	-5.478485	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2023-12	41.255	0.703	Mustelidae	5307	Martes	2433765	Martes foina	5218887
