kingdom,id,scientificName,scientificName
Anfibios,10909,Alytes cisternasii,"Alytes cisternasii Boscá, 1879"
Anfibios,11158,Alytes dickhilleni ,"Alytes dickhilleni Arntzen & García-París, 1995"
Anfibios,11790,Alytes muletensis,"Alytes muletensis (Sanchiz & Adrover, 1977)"
Anfibios,11878,Alytes obstetricans,"Alytes obstetricans (Laurenti, 1768)"
Anfibios,16220,Bufo balearicus (= Bufo viridis),"Bufotes balearicus (Boettger, 1870)"
Anfibios,10762,Calotriton arnoldi,"Calotriton arnoldi Carranza & Amat, 2005"
Anfibios,10769,Calotriton (Euproctus) asper,"Calotriton asper (Dugès, 1852)"
Anfibios,11632,Chioglossa lusitanica,"Chioglossa lusitanica Bocage, 1864"
Anfibios,11332,Discoglossus galganoi,"Discoglossus galganoi Capula, Nascetti, Lanza, Crespo & Bullini 1985"
Anfibios,24211,Discoglossus jeanneae,"Discoglossus galganoi jeanneae Busack, 1986"
Anfibios,11985,Discoglossus pictus,"Discoglossus pictus (Otth, 1837)"
Anfibios,24327,Bufo calamita,"Epidalea calamita (Laurenti, 1768)"
Anfibios,11717,Hyla meridionalis  ,"Hyla meridionalis Boettger, 1874"
Anfibios,16222,Hyla arborea,"Hyla molleri (Bedriaga, 1889)"
Anfibios,10729,Lissotriton boscai (antes Triturus boscai),"Lissotriton boscai (Lataste, 1879)"
Anfibios,11431,Lissotriton helveticus (antes Triturus helveticus),"Lissotriton helveticus (Razoumowsky, 1789)"
Anfibios,33080,Mesotriton alpestris (antes Triturus alpestris),"Ichthyosaura alpestris (Laurenti, 1768)"
Anfibios,11108,Pelobates cultripes,"Pelobates cultripes (Cuvier, 1829)"
Anfibios,11490,Pelodytes ibericus (antes P. punctatus),"Pelodytes ibericus Sánchez-Herráiz, Barbadillo, Machordom & Sanchiz, 2000"
Anfibios,12037,Pelodytes punctatus,"Pelodytes punctatus (Daudin, 1802)"
Anfibios,12420,Pleurodeles waltl,"Pleurodeles waltl Michahelles, 1830"
Anfibios,11128,Rana dalmatina,"Rana dalmatina Bonaparte, 1840"
Anfibios,11485,Rana iberica ,"Rana iberica Boulenger, 1879"
Anfibios,12056,Rana pyrenaica,"Rana pyrenaica Serra-Cobo, 1993"
Anfibios,12298,Rana temporaria,"Rana temporaria Linnaeus, 1758"
Anfibios,10667,Salamandra algira  ,Salamandra algira Bedriaga 1883
Anfibios,11677,Triturus marmoratus,"Triturus marmoratus (Latreille, 1800)"
Anfibios,12051,Triturus pygmaeus ,"Triturus pygmaeus (Wolterstorff, 1905)"
Aves,11351,Accipiter gentilis,"Accipiter gentilis (Linnaeus, 1758)"
Aves,11849,Accipiter nisus,"Accipiter nisus (Linnaeus, 1758)"
Aves,10766,Acrocephalus arundinaceus,"Acrocephalus arundinaceus (Linnaeus, 1758)"
Aves,11706,Acrocephalus melanopogon,"Acrocephalus melanopogon (Temminck, 1823)"
Aves,11932,Acrocephalus paludicola,"Acrocephalus paludicola (Vieillot, 1817)"
Aves,12166,Acrocephalus schoenobaenus,"Acrocephalus schoenobaenus (Linnaeus, 1758)"
Aves,12171,Acrocephalus scirpaceus,"Acrocephalus scirpaceus (Hermann, 1804)"
Aves,11484,Actitis hypoleucos  ,"Actitis hypoleucos (Linnaeus, 1758)"
Aves,10993,Aegithalos caudatus  ,"Aegithalos caudatus (Linnaeus, 1758)"
Aves,11316,Aegolius funereus ,"Aegolius funereus (Linnaeus, 1758)"
Aves,11768,Aegypius monachus,"Aegypius monachus (Linnaeus, 1766)"
Aves,14089,Alca torda  ,"Alca torda Linnaeus, 1758"
Aves,10794,Alcedo atthis,"Alcedo atthis (Linnaeus, 1758)"
Aves,10835,Anthus berthelotii,"Anthus berthelotii Bolle, 1862"
Aves,10944,Anthus campestris,"Anthus campestris (Linnaeus, 1758)"
Aves,16377,Anthus cervinus,"Anthus cervinus (Pallas, 1811)"
Aves,16379,Anthus petrosus,"Anthus petrosus (Montagu, 1798)"
Aves,12019,Anthus pratensis,"Anthus pratensis (Linnaeus, 1758)"
Aves,12231,Anthus spinoletta,"Anthus spinoletta (Linnaeus, 1758)"
Aves,12336,Anthus trivialis,"Anthus trivialis (Linnaeus, 1758)"
Aves,10743,Apus apus,"Apus apus (Linnaeus, 1758)"
Aves,10935,Apus caffer,"Apus caffer (Lichtenstein, MHK, 1823)"
Aves,11930,Apus pallidus,"Apus pallidus (Shelley, 1870)"
Aves,12365,Apus unicolor,"Apus unicolor (Jardine, 1830)"
Aves,11014,Aquila adalberti  ,"Aquila adalberti Brehm, CL, 1861"
Aves,10888,Aquila chrysaetos,"Aquila chrysaetos (Linnaeus, 1758)"
Aves,10896,Ardea cinerea,"Ardea cinerea Linnaeus, 1758"
Aves,12041,Ardea purpurea,"Ardea purpurea Linnaeus, 1766"
Aves,12081,Ardeola ralloides  ,"Ardeola ralloides (Scopoli, 1769)"
Aves,11519,Arenaria interpres,"Arenaria interpres (Linnaeus, 1758)"
Aves,11273,Asio flammeus,"Asio flammeus (Pontoppidan, 1763)"
Aves,11921,Asio otus,"Asio otus (Linnaeus, 1758)"
Aves,11861,Athene noctua,"Athene noctua (Scopoli, 1769)"
Aves,16270,Aythya marila,"Aythya marila (Linnaeus, 1761)"
Aves,11871,Aythya nyroca  ,"Aythya nyroca (Güldenstädt, 1770)"
Aves,16275,Bonasa bonasia ,"Tetrastes bonasia (Linnaeus, 1758)"
Aves,12243,Botaurus stellaris  ,"Botaurus stellaris (Linnaeus, 1758)"
Aves,16260,Branta bernicla,"Branta bernicla (Linnaeus, 1758)"
Aves,16259,Branta leucopsis,"Branta leucopsis (Bechstein, 1803)"
Aves,10917,Bubo bubo,"Bubo bubo (Linnaeus, 1758)"
Aves,11496,Bubulcus ibis,"Bubulcus ibis (Linnaeus, 1758)"
Aves,11365,Bucanetes githagineus,"Bucanetes githagineus (Lichtenstein, MHK, 1823)"
Aves,13992,Bucephala clangula,"Bucephala clangula (Linnaeus, 1758)"
Aves,14010,Bulweria bulwerii,"Bulweria bulwerii (Jardine & Selby, 1828)"
Aves,11889,Burhinus oedicnemus distinctus,"Burhinus oedicnemus distinctus (Bannerman, 1914)"
Aves,11888,Burhinus oedicnemus oedicnemus/insularum,"Burhinus oedicnemus insularum (Sassi, 1908)"
Aves,28443,Burhinus oedicnemus oedicnemus/insularum,"Burhinus oedicnemus oedicnemus (Linnaeus, 1758)"
Aves,10922,Buteo buteo,"Buteo buteo (Linnaeus, 1758)"
Aves,10734,Calandrella brachydactyla,"Calandrella brachydactyla (Leisler, 1814)"
Aves,33007,Calandrella rufescens,"Alaudala rufescens (Vieillot, 1819)"
Aves,10649,Calidris alba,"Calidris alba (Pallas, 1764)"
Aves,10678,Calidris alpina,"Calidris alpina (Linnaeus, 1758)"
Aves,10957,Calidris canutus,"Calidris canutus (Linnaeus, 1758)"
Aves,11262,Calidris ferruginea,"Calidris ferruginea (Pontoppidan, 1763)"
Aves,16339,Calidris maritima,"Calidris maritima (Brünnich, 1764)"
Aves,11745,Calidris minuta,"Calidris minuta (Leisler, 1812)"
Aves,32348,Calonectris borealis,"Calonectris borealis (Cory, 1881)"
Aves,11166,Calonectris diomedea diomedea,"Calonectris diomedea Scopoli, 1769"
Aves,16333,Calidris temminckii,"Calidris temminckii (Leisler, 1812)"
Aves,11229,Caprimulgus europaeus,"Caprimulgus europaeus Linnaeus, 1758"
Aves,12122,Caprimulgus ruficollis,"Caprimulgus ruficollis Temminck, 1820"
Aves,33009,Carduelis spinus,"Spinus spinus (Linnaeus, 1758)"
Aves,11327,Cercotrichas galactotes,"Cercotrichas galactotes (Temminck, 1820)"
