"classe","ordre","esp_cies_nom_cient_fic","esp_cies_nom_com","categoria_cat_leg"
"Amfibi","Anurs","Alytes obstetricans","Tòtil","Protegida"
"Amfibi","Anurs","Bufo spinosus (= Bufo bufo)","Gripau comú","Protegida"
"Amfibi","Anurs","Epidalea calamita (= Bufo calamita)","Gripau corredor","Protegida"
"Amfibi","Anurs","Hyla meridionalis","Reineta (meridional)","Protegida"
"Amfibi","Anurs","Pelobates cultripes","Gripau d'esperons","Protegida"
"Amfibi","Anurs","Pelodytes punctatus","Granoteta de punts","Protegida"
"Amfibi","Anurs","Pelophylax perezi","Granota verda","Protegida"
"Amfibi","Anurs","Rana temporaria","Granota roja","Protegida"
"Amfibi","Urodels","Calotriton arnoldi","Tritó del Montseny","En perill d'extinció"
"Amfibi","Urodels","Calotriton asper","Tritó pirinenc","Protegida"
"Amfibi","Urodels","Lissotriton helveticus","Tritó palmat","Protegida"
"Amfibi","Urodels","Pleurodeles waltl","Ofegabous","Vulnerable"
"Amfibi","Urodels","Salamandra salamandra","Salamandra","Protegida"
"Amfibi","Urodels","Triturus marmoratus","Tritó verd","Protegida"
"Invertebrat","Aràcnids","Argyroneta aquatica",,"Vulnerable"
"Invertebrat","Aràcnids","Belisarius xambeui","Escorpí cec","En perill d'extinció"
"Invertebrat","Aràcnids","Ephippiochthonius catalonicus",,"Vulnerable"
"Invertebrat","Aràcnids","Telema tenella",,"Vulnerable"
"Invertebrat","Aràcnids","Troglobisium racovitzai",,"Vulnerable"
"Invertebrat","Ascalàfids","Libelloides coccajus",,"Vulnerable"
"Invertebrat","Cnidaris","Cladocora caespitosa","Madrèpora","Vulnerable"
"Invertebrat","Cnidaris","Corallium rubrum","Corall vermell","Vulnerable"
"Invertebrat","Cnidaris","Dendrophyllia cornigera","Canelobre","Vulnerable"
"Invertebrat","Cnidaris","Desmophyllum dianthus",,"Vulnerable"
"Invertebrat","Cnidaris","Isidella elongata",,"En perill d'extinció"
"Invertebrat","Cnidaris","Leiopathes glaberrima",,"Vulnerable"
"Invertebrat","Cnidaris","Lophelia pertusa",,"Vulnerable"
"Invertebrat","Cnidaris","Madrepora oculata","Corall blanc","Vulnerable"
"Invertebrat","Coleòpters","Acanthocinus hispanicus",,"Vulnerable"
"Invertebrat","Coleòpters","Acmaeops marginatus",,"Vulnerable"
"Invertebrat","Coleòpters","Aesalus scarabaeoides",,"Vulnerable"
"Invertebrat","Coleòpters","Amorphocephala coronata",,"Vulnerable"
"Invertebrat","Coleòpters","Anthaxia  oberthuri",,"Vulnerable"
"Invertebrat","Coleòpters","Calicnemis latreillei",,"Vulnerable"
"Invertebrat","Coleòpters","Calopus serraticornis",,"Vulnerable"
"Invertebrat","Coleòpters","Carabus granulatus",,"En perill d'extinció"
"Invertebrat","Coleòpters","Carabus morbillosus macilentus",,"Vulnerable"
"Invertebrat","Coleòpters","Carabus pyrenaeus",,"Vulnerable"
"Invertebrat","Coleòpters","Catalanodytes bellesi (= Reicheia bellesi)",,"Vulnerable"
"Invertebrat","Coleòpters","Cerambyx cerdo","Banyarriquer del roure","Vulnerable"
"Invertebrat","Coleòpters","Cerambyx miles",,"Vulnerable"
"Invertebrat","Coleòpters","Cerambyx welensii",,"Protegida"
"Invertebrat","Coleòpters","Ceretophyes riberai",,"Vulnerable"
"Invertebrat","Coleòpters","Chitona suturalis",,"Vulnerable"
"Invertebrat","Coleòpters","Cryptocephalus schaefferi",,"Vulnerable"
"Invertebrat","Coleòpters","Cylindera germanica sobrina (= C. germanica catalonica)",,"En perill d'extinció"
"Invertebrat","Coleòpters","Dendarus schusteri",,"En perill d'extinció"
"Invertebrat","Coleòpters","Gnorimus variabilis",,"Vulnerable"
"Invertebrat","Coleòpters","Gonioctena decemnotata",,"Vulnerable"
"Invertebrat","Coleòpters","Hoplia coerulea","Escarabat blau","Vulnerable"
"Invertebrat","Coleòpters","Hydraena gavarrensis",,"Vulnerable"
"Invertebrat","Coleòpters","Iberacritus vivesi",,"Vulnerable"
"Invertebrat","Coleòpters","Iberodorcadion suturale",,"En perill d'extinció"
"Invertebrat","Coleòpters","Kisanthobia ariasi",,"Vulnerable"
"Invertebrat","Coleòpters","Leioderes kollari",,"Vulnerable"
"Invertebrat","Coleòpters","Lucanus barbarossa",,"Protegida"
"Invertebrat","Coleòpters","Lucanus cervus","Escanyapolls o cérvol volant","Vulnerable"
"Invertebrat","Coleòpters","Lucanus pontbrianti",,"Vulnerable"
"Invertebrat","Coleòpters","Meloe variegatus",,"Vulnerable"
"Invertebrat","Coleòpters","Obrium cantharinum",,"Vulnerable"
"Invertebrat","Coleòpters","Ochodaeus inermis",,"Vulnerable"
"Invertebrat","Coleòpters","Osmoderma eremita",,"En perill d'extinció"
"Invertebrat","Coleòpters","Osphya aeneipennis",,"Vulnerable"
"Invertebrat","Coleòpters","Otiorhynchus zariquieyi",,"Vulnerable"
"Invertebrat","Coleòpters","Pachyta quadrimaculata",,"Vulnerable"
"Invertebrat","Coleòpters","Pallaresiella pallaresana",,"Vulnerable"
"Invertebrat","Coleòpters","Paraphaenops breuilianus",,"Vulnerable"
"Invertebrat","Coleòpters","Parvospeonomus canyellesi",,"Vulnerable"
"Invertebrat","Coleòpters","Parvospeonomus urgellesi",,"Vulnerable"
"Invertebrat","Coleòpters","Perriniella bofilli",,"Vulnerable"
"Invertebrat","Coleòpters","Perriniella faurai",,"Vulnerable"
"Invertebrat","Coleòpters","Phylan ilerdensis",,"Vulnerable"
"Invertebrat","Coleòpters","Pimelia interjecta",,"Vulnerable"
"Invertebrat","Coleòpters","Platyderus espanoli (= Cryobius espanoli)",,"Vulnerable"
"Invertebrat","Coleòpters","Pterostichus catalonicus (= Steropus catalonicus)",,"Vulnerable"
"Invertebrat","Coleòpters","Pycnomerus terebrans",,"Vulnerable"
"Invertebrat","Coleòpters","Rosalia alpina","Rosàlia","En perill d'extinció"
"Invertebrat","Coleòpters","Rushia parreyssii",,"Vulnerable"
"Invertebrat","Coleòpters","Scarabaeus semipunctatus",,"Vulnerable"
"Invertebrat","Coleòpters","Speonomites kryophilos",,"Vulnerable"
"Invertebrat","Coleòpters","Speonomites torresi",,"Vulnerable"
"Invertebrat","Coleòpters","Stenostoma rostratum",,"En perill d'extinció"
"Invertebrat","Coleòpters","Synchita fallax",,"Vulnerable"
"Invertebrat","Coleòpters","Synchita undata",,"Vulnerable"
"Invertebrat","Coleòpters","Timarcha sinuaticollis (= Timarcha monserratensis)",,"Vulnerable"
"Invertebrat","Coleòpters","Trechus meregallii",,"Vulnerable"
"Invertebrat","Coleòpters","Troglocharinus kiesenwetteri",,"Vulnerable"
"Invertebrat","Coleòpters","Troglocharinus olerdolai",,"Vulnerable"
"Invertebrat","Coleòpters","Troglocharinus pallisei",,"Vulnerable"
"Invertebrat","Coleòpters","Troglocharinus patracoi",,"Vulnerable"
"Invertebrat","Coleòpters","Zariquieya troglodytes",,"Vulnerable"
"Invertebrat","Crustacis","Austropotamobius pallipes","Cranc de riu","En perill d'extinció"
"Invertebrat","Crustacis","Palaemonetes zariquieyi","Gambeta","Vulnerable"
"Invertebrat","Crustacis","Stenasellus virei",,"Vulnerable"
"Invertebrat","Crustacis","Triops cancriformis","Tortugueta","Vulnerable"
"Invertebrat","Diplurs","Gollumjapyx smeagol",,"Vulnerable"
"Invertebrat","Diplurs","Paratachycampa hispanica",,"Vulnerable"
"Invertebrat","Hemípters","Aphelocheirus aestivalis",,"Vulnerable"
"Invertebrat","Hemípters","Orthotylus siuranus",,"Vulnerable"
"Invertebrat","Heteròpters","Acalypta nigrina",,"Vulnerable"
"Invertebrat","Heteròpters","Dictyla lithospermi","Puntaire de la cua de gat","Vulnerable"
"Invertebrat","Heteròpters","Dimorphocoris obachi",,"Vulnerable"
"Invertebrat","Heteròpters","Orthotylus gemmae","Ortòtil","Vulnerable"
"Invertebrat","Heteròpters","Polytoxus siculus",,"Vulnerable"
"Invertebrat","Heteròpters","Solenoxyphus lepidus",,"Vulnerable"
"Invertebrat","Heteròpters","Vibertiola cinerea","Assassina de l’albellatge","Vulnerable"
"Invertebrat","Himenòpters","Bombus cullumanus",,"Vulnerable"
"Invertebrat","Himenòpters","Bombus gerstaeckeri",,"Vulnerable"
"Invertebrat","Lepidòpters","Agriades glandon","Blavet de glacera","Vulnerable"
"Invertebrat","Lepidòpters","Aricia morronensis","Moreneta ibèrica","Vulnerable"
"Invertebrat","Lepidòpters","Aricia nicias","Moreneta grisa","En perill d'extinció"
"Invertebrat","Lepidòpters","Artimelia latreillei",,"Vulnerable"
"Invertebrat","Lepidòpters","Boloria eunomia","Donzella de la bistorta","En perill d'extinció"
"Invertebrat","Lepidòpters","Boloria pales","Donzella alpina","Vulnerable"
"Invertebrat","Lepidòpters","Brenthis hecate","Perlada de la filipèndula","Vulnerable"
"Invertebrat","Lepidòpters","Carterocephalus palaemon","Caparrut aranès","En perill d'extinció"
"Invertebrat","Lepidòpters","Colias phicomone","Safranera alpina","Vulnerable"
"Invertebrat","Lepidòpters","Erebia cassioides","Muntanyesa grisa","Vulnerable"
"Invertebrat","Lepidòpters","Erebia epistygne","Muntanyesa de primavera","En perill d'extinció"
"Invertebrat","Lepidòpters","Erebia gorge","Muntanyesa de tartera","Vulnerable"
"Invertebrat","Lepidòpters","Erebia gorgone","Muntanyesa pirinenca","Vulnerable"
"Invertebrat","Lepidòpters","Erebia manto","Muntanyesa llisa","Vulnerable"
"Invertebrat","Lepidòpters","Erebia oeme","Muntanyesa de mollera","Vulnerable"
"Invertebrat","Lepidòpters","Erebia pandrose","Muntanyesa puntejada","Vulnerable"
"Invertebrat","Lepidòpters","Erebia pronoe","Muntanyesa aranesa","Vulnerable"
"Invertebrat","Lepidòpters","Erebia sthennyo","Muntanyesa puntejada pirinenca","Vulnerable"
"Invertebrat","Lepidòpters","Eriogaster catax",,"Protegida"
"Invertebrat","Lepidòpters","Euchloe bazae","Grogueta del desert","Extinta com a reproductora"
"Invertebrat","Lepidòpters","Euchloe simplonia","Marbrada alpina","Vulnerable"
"Invertebrat","Lepidòpters","Euchloe tagis","Marbrada de ponent","En perill d'extinció"
"Invertebrat","Lepidòpters","Eumedonia eumedon","Moreneta torrentera","Vulnerable"
"Invertebrat","Lepidòpters","Euphydryas aurinia","Brocat variable","Protegida"
"Invertebrat","Lepidòpters","Fabriciana niobe","Niobe","Vulnerable"
"Invertebrat","Lepidòpters","Graellsia isabelae","Graèllsia","Protegida"
"Invertebrat","Lepidòpters","Heteropterus morpheus","Saltiró","En perill d'extinció"
"Invertebrat","Lepidòpters","Hyponephele lupina","Bruna de secà","En perill d'extinció"
"Invertebrat","Lepidòpters","Hyponephele lycaon","Bruna de muntanya","Vulnerable"
"Invertebrat","Lepidòpters","Iolana debilitata","Blaveta de l’espantallops","Vulnerable"
"Invertebrat","Lepidòpters","Lasiommata petropolitana","Margenera aranesa","Vulnerable"
"Invertebrat","Lepidòpters","Lycaena hippothoe","Coure de mollera","Vulnerable"
"Invertebrat","Lepidòpters","Maculinea nausithous",,"Protegida"
"Invertebrat","Lepidòpters","Maculinea teleius",,"Protegida"
"Invertebrat","Lepidòpters","Melanargia galathea","Escac aranès","Vulnerable"
"Invertebrat","Lepidòpters","Melanargia ines","Escac de ponent","En perill d'extinció"
"Invertebrat","Lepidòpters","Melanargia occitanica","Escac ferruginós","Vulnerable"
"Invertebrat","Lepidòpters","Parnassius apollo","Apol·lo","Protegida"
"Invertebrat","Lepidòpters","Parnassius mnemosyne","Mnemòsine","Vulnerable"
"Invertebrat","Lepidòpters","Phengaris alcon (= Maculinea alcon)","Formiguera petita","Vulnerable"
"Invertebrat","Lepidòpters","Phengaris arion (= Maculinea arion)","Formiguera gran","Vulnerable"
"Invertebrat","Lepidòpters","Pieris ergane","Blanqueta de la pedrosa","Vulnerable"
"Invertebrat","Lepidòpters","Polyommatus eros","Blaveta alpina","Vulnerable"
