scientificName
Alytes obstetricans
Bufo spinosus (= Bufo bufo)
Epidalea calamita (= Bufo calamita)
Hyla meridionalis
Pelobates cultripes
Pelodytes punctatus
Pelophylax perezi
Rana temporaria
Calotriton arnoldi
Calotriton asper
Lissotriton helveticus
Pleurodeles waltl
Salamandra salamandra
Triturus marmoratus
Argyroneta aquatica
Belisarius xambeui
Ephippiochthonius catalonicus
Telema tenella
Troglobisium racovitzai
Libelloides coccajus
Cladocora caespitosa
Corallium rubrum
Dendrophyllia cornigera
Desmophyllum dianthus
Isidella elongata
Leiopathes glaberrima
Lophelia pertusa
Madrepora oculata
Acanthocinus hispanicus
Acmaeops marginatus
Aesalus scarabaeoides
Amorphocephala coronata
Anthaxia  oberthuri
Calicnemis latreillei
Calopus serraticornis
Carabus granulatus
Carabus morbillosus macilentus
Carabus pyrenaeus
Catalanodytes bellesi (= Reicheia bellesi)
Cerambyx cerdo
Cerambyx miles
Cerambyx welensii
Ceretophyes riberai
Chitona suturalis
Cryptocephalus schaefferi
Cylindera germanica sobrina (= C. germanica catalonica)
Dendarus schusteri
Gnorimus variabilis
Gonioctena decemnotata
Hoplia coerulea
Hydraena gavarrensis
Iberacritus vivesi
Iberodorcadion suturale
Kisanthobia ariasi
Leioderes kollari
Lucanus barbarossa
Lucanus cervus
Lucanus pontbrianti
Meloe variegatus
Obrium cantharinum
Ochodaeus inermis
Osmoderma eremita
Osphya aeneipennis
Otiorhynchus zariquieyi
Pachyta quadrimaculata
Pallaresiella pallaresana
Paraphaenops breuilianus
Parvospeonomus canyellesi
Parvospeonomus urgellesi
Perriniella bofilli
Perriniella faurai
Phylan ilerdensis
Pimelia interjecta
Platyderus espanoli (= Cryobius espanoli)
Pterostichus catalonicus (= Steropus catalonicus)
Pycnomerus terebrans
Rosalia alpina
Rushia parreyssii
Scarabaeus semipunctatus
Speonomites kryophilos
Speonomites torresi
Stenostoma rostratum
Synchita fallax
Synchita undata
Timarcha sinuaticollis (= Timarcha monserratensis)
Trechus meregallii
Troglocharinus kiesenwetteri
Troglocharinus olerdolai
Troglocharinus pallisei
Troglocharinus patracoi
Zariquieya troglodytes
Austropotamobius pallipes
Palaemonetes zariquieyi
Stenasellus virei
Triops cancriformis
Gollumjapyx smeagol
Paratachycampa hispanica
Aphelocheirus aestivalis
Orthotylus siuranus
Acalypta nigrina
Dictyla lithospermi
Dimorphocoris obachi
Orthotylus gemmae
Polytoxus siculus
Solenoxyphus lepidus
Vibertiola cinerea
Bombus cullumanus
Bombus gerstaeckeri
Agriades glandon
Aricia morronensis
Aricia nicias
Artimelia latreillei
Boloria eunomia
Boloria pales
Brenthis hecate
Carterocephalus palaemon
Colias phicomone
Erebia cassioides
Erebia epistygne
Erebia gorge
Erebia gorgone
Erebia manto
Erebia oeme
Erebia pandrose
Erebia pronoe
Erebia sthennyo
Eriogaster catax
Euchloe bazae
Euchloe simplonia
Euchloe tagis
Eumedonia eumedon
Euphydryas aurinia
Fabriciana niobe
Graellsia isabelae
Heteropterus morpheus
Hyponephele lupina
Hyponephele lycaon
Iolana debilitata
Lasiommata petropolitana
Lycaena hippothoe
Maculinea nausithous
Maculinea teleius
Melanargia galathea
Melanargia ines
Melanargia occitanica
Parnassius apollo
Parnassius mnemosyne
Phengaris alcon (= Maculinea alcon)
Phengaris arion (= Maculinea arion)
Pieris ergane
Polyommatus eros
Polyommatus nivescens
Proserpinus proserpina
Pseudophilotes baton
Pyrgus andromedae
Pyrgus cacaliae
Pyrgus onopordi
Satyrium pruni
Satyrus ferula
Scolitantides orion
Zegris eupheme
Cranogona cornutum
Hispaniosoma racovitzai
Lithobius allotyphlus
Lithobius ambulotentus
Paratyphloiulus bolivari
Paratyphloiulus lagari
Psychrosoma tarraconensis
Rhyparomeris lineata
Scutogona muticum
Scutogona vivesi
Tarracoblaniulus lagari
Trichoblaniulus tarraconensis
Abida gittenbergeri
Abida secale
Anodonta anatina (= Anodonta cygnea)
Anodonta cygnea
Arianta xatartii
Atenia quadrasi
Avenionia brevis
Backeljaia corbellai
Baldufa fontinalis
Belgrandia boscae (= Belgrandia marginata)
Bofilliella subarcuata
Bythinella batalleri
Bythinella baudoni andorrensis
Bythinella espanoli
Bythinella persuturata
Bythinella reyniesii
Bythinella rufescens rufescens
Bythinella tejedoi
Charonia lampas lampas
Cochlostoma patulum fontqueri
Corneola desmoulinsii bechi (= Chilostoma desmoulinsii bechi)
Deroceras altimirai
Deroceras tarracense
Euglesa hibernica
Euglesa lilljeborgii
Euglesa subtruncata
Guadiella ballesterosi
Heleobia macei
Hohenwartiana disparata
Hygromia tassyi
Islamia ateni
Islamia globulus
Islamia lagari
Margaritifera auricularia
Mastigophallus rangianus
Melanopsis tricarinata
Moitessieria barrinae
Moitessieria collellensis
Moitessieria dexteri
Moitessieria foui
Moitessieria garrotxaensis
Moitessieria hedraensis
Moitessieria juvenisanguis
Moitessieria lludrigaensis
Moitessieria mugae
Moitessieria olleri
Moitessieria pasterae
Moitessieria pesanta
Moitessieria prioratensis
Moitessieria punctata
Moitessieria ripacurtiae
Moitessieria sanctichristophori
Moitessieria seminiana
Moitessieria tatirocae
Montserratina bofilliana
Montserratina martorelli
Norelona pyrenaica
Pinna nobilis
Potomida littoralis (= Psilunio littoralis)
Pseudamnicola subproducta
Pyrenaearia carascalopsis
Pyrenaearia guillenae
Pyrenaearia molae
Pyrenaearia organiaca
Pyrenaearia parva
Suboestophora tarraconensis
Tarraconia rolani
Trochoidea trochoides
Unio mancus (= Unio elongatulus)
Unio ravoisieri (= Unio aleroni = Unio elongatulus)
Vertigo angustior
Vertigo moulinsiana
Xerocrassa montserratensis
Aeshna afinis
Aeshna isoceles
Coenagrion hastulatum
Coenagrion mercuriale
Cordulegaster bidentata
Cordulia aenea
Gomphus graslinii
Lestes dryas
Lestes sponsa
Leucorrhinia dubia
Libellula fulva
Macromia splendens
Onychogomphus costae
Orthetrum nitidinerve
Oxygastra curtisii
Selysiothemis nigra
Somatochlora metallica
Sympetrum pedemontanum
Sympetrum vulgatum
Acinipe eulaliae
Albarracinia zapaterii
Arcyptera brevipennis
Bohemanella frigida
Brachycrotaphus tryxalicerus
Celes variabilis
Ctenodecticus masferreri
Ctenodecticus thymi
Dolichopoda bolivari
Ephippigerida asella
Gomphoceridius brevipennis
Heteracris littoralis
Kurtharzia nugatoria
Lluciapomaresius ortegai
Lluciapomaresius panteli (= Lluciapomaresius nisae)
Metaplastes pulchripennis
Mioscirtus wagneri
Odontura aspericauda
Omocestus navasi
Petaloptila pyrenaea
Petaloptila venosa
Prionotropis ancosae
Prionotropis flexuosa
Prionotropis xausi
Pseudomogoplistes squamiger
Pycnogaster sanchezgomezi
Saga pedo
Phagocata ullala
Synagapetus serotinus
Canis lupus
Felis silvestris
Lutra lutra
Lynx lynx
Lynx pardina (= L. pardinus)
Martes martes
Mustela erminea
Mustela lutreola
Mustela nivalis
Mustela putorius
Ursus arctos
Balaenoptera physalus
Delphinus delphis
Eschrichtius robustus
Globicephala melas
Grampus griseus
Megaptera novaeangliae
Orcinus orca
Physeter macrocephalus
Stenella coeruleoalba
Tursiops truncatus
Ziphius cavirostris
Aethechinus (= Atelerix) algirus
Erinaceus europaeus
Galemys pyrenaicus
Neomys anomalus
Neomys fodiens
Neomys milleri
Sorex araneus
Sorex coronatus
Monachus monachus
Barbastella barbastellus
Eptesicus serotinus
Hypsugo savii
Miniopterus schreibersii
Myotis alcathoe
Myotis bechsteinii
Myotis blythii
Myotis capaccinii
Myotis crypticus
Myotis daubentonii
Myotis emarginatus
Myotis escalerai
Myotis myotis
Myotis mystacinus
Nyctalus lasiopterus
Nyctalus leisleri
Nyctalus noctula
Pipistrellus kuhlii
Pipistrellus nathusii
Pipistrellus pipistrellus
Pipistrellus pygmaeus
Plecotus auritus
Plecotus austriacus
Plecotus macrobullaris
Rhinolophus euryale
Rhinolophus ferrumequinum
Rhinolophus hipposideros
Rhinolophus mehelyi
Tadarida teniotis
Vespertilio murinus
Arvicola sapidus
Glis glis
Microtus nivalis
Microtus pyrenaicus
Sciurus vulgaris
Accipiter gentilis
Accipiter nisus
Aegypius monachus
Aquila chrysaetos
Aquila fasciata (= Hieraaetus fasciatus)
Aquila heliaca
Buteo buteo
Buteo lagopus
Circaetus gallicus
Circus aeruginosus
Circus cyaneus
Circus pygargus
Elanus caeruleus
Falco naumanni
Gypaetus barbatus
Gyps fulvus
Hieraaetus pennatus (= Aquila pennata)
Milvus migrans
Milvus milvus
Neophron percnopterus
Pandion haliaetus
Pernis apivorus
Aythya ferina
Aythya fuligula
Aythya marila
Aythya nyroca
Bucephala clangula
Clangula hyemalis
Marmaronetta angustirostris
Melanitta fusca
Melanitta nigra
Mergellus albellus
Mergus merganser
Mergus serrator
Oxyura leucocephala
Somateria mollissima
Tadorna ferruginea
Tadorna tadorna
Apus apus
Apus pallidus
Tachymarptis melba (= Apus melba)
Caprimulgus europaeus
Caprimulgus ruficollis
Actitis hypoleucos
Alca torda
Arenaria interpres
Burhinus oedicnemus
Calidris alba
Calidris alpina
Calidris canutus
Calidris ferruginea
Calidris minuta
Calidris pugnax (= Philomachus pugnax)
Calidris temminckii
Charadrius alexandrinus
Charadrius dubius
Charadrius hiaticula
Charadrius morinellus
Chlidonias hybrida (= Chlidonias hybridus)
Chlidonias leucopterus
Chlidonias niger
Chroicocephalus genei (= Larus genei)
Fratercula arctica
Gallinago media
Gelochelidon nilotica (= Sterna nilotica)
Glareola pratincola
Haematopus ostralegus
Himantopus himantopus
Hydrocoloeus minutus (= Larus minutus)
Hydroprogne caspia (= Sterna caspia)
Ichthyaetus audouinii (= Larus audouinii)
Ichthyaetus melanocephalus (= Larus melanocephalus)
Larus canus
Larus marinus
Limosa lapponica
Limosa limosa
Lymnocryptes minimus
Numenius arquata
Numenius phaeopus
Phalaropus fulicarius
Phalaropus lobatus
Pluvialis apricaria
Pluvialis squatarola
Recurvirostra avosetta
Rissa tridactyla
Stercorarius longicaudus
Stercorarius parasiticus
Stercorarius pomarinus
Stercorarius skua
Sterna hirundo
Sternula albifrons (= Sterna albifrons)
Thalasseus bengalensis (= Sterna bengalensis)
Thalasseus sandvicensis (= Sterna sandvicensis)
Tringa erythropus
Tringa glareola
Tringa nebularia
Tringa ochropus
Tringa stagnatilis
Tringa totanus
Uria aalge
Ardea alba (= Egretta alba)
Ardea cinerea
Ardea purpurea
Ardeola ralloides
Botaurus stellaris
Bubulcus ibis
Ciconia ciconia
Ciconia nigra
Egretta garzetta
Ixobrychus minutus
Nycticorax nycticorax
Phoenicopterus roseus
Platalea leucorodia
Plegadis falcinellus
Alcedo atthis
Coracias garrulus
Merops apiaster
Upupa epops
Clamator glandarius
Cuculus canorus
Aegolius funereus
Asio flammeus
Asio otus
Athene noctua
Bubo bubo
Otus scops
Strix aluco
Tyto alba
Falco columbarius
Falco eleonorae
Falco peregrinus
Falco subbuteo
Falco tinnunculus
Falco vespertinus
Alectoris graeca
Lagopus muta
Lyrurus tetrix
Tetrao urogallus
Tetrastes bonasia (= Bonasa bonasia)
Gavia arctica
Gavia immer
Gavia stellata
Crex crex
Fulica cristata
Grus grus
Otis tarda
Porphyrio porphyrio
Porzana porzana
Rallus aquaticus
Tetrax tetrax
Zapornia parva (= Porzana parva)
Zapornia pusilla (= Porzana pusilla)
Acrocephalus arundinaceus
Acrocephalus melanopogon
Acrocephalus paludicola
Acrocephalus schoenobaenus
Acrocephalus scirpaceus
Aegithalos caudatus
Alaudala rufescens (= Calandrella rufescens)
Anthus campestris
Anthus cervinus
Anthus pratensis
Anthus spinoletta
Anthus trivialis
Calandrella brachydactyla
Carduelis citrinella (= Serinus citrinella)
Cecropis daurica (= Hirundo daurica)
Cercotrichas galactotes
Certhia brachydactyla
Certhia familiaris
Cettia cetti
Chersophilus duponti
Cinclus cinclus aquaticus
Cinclus cinclus cinclus
Cisticola juncidis
Coccothraustes coccothraustes
Coloeus monedula (=  Corvus monedula)
Curruca communis (= Sylvia communis)
Curruca conspicillata (= Sylvia conspicillata)
Curruca hortensis (= Sylvia hortensis)
Curruca iberiae (= Sylvia iberiae = Sylvia cantillans)
Curruca melanocephala (= Sylvia melanocephala)
Curruca undata (= Sylvia undata)
Cyanistes caeruleus (= Parus caeruleus)
Delichon urbicum
Emberiza cia
Emberiza cirlus
Emberiza citrinella
Emberiza hortulana
Emberiza schoeniclus witherbyi
Erithacus rubecula
Ficedula albicollis
Ficedula hypoleuca
Fringilla montifringilla
Galerida cristata
Galerida theklae
Hippolais polyglotta
Hirundo rustica
Iduna opaca (= Hippolais opaca)
Lanius collurio
Lanius meridionalis
Lanius minor
Lanius senator
Locustella luscinioides
Locustella naevia
Lophophanes cristatus (= Parus cristatus)
Loxia curvirostra
Lullula arborea
Luscinia megarhynchos
Luscinia svecica
Melanocorypha calandra
Monticola saxatilis
Monticola solitarius
Montifringilla nivalis
Motacilla alba
Motacilla cinerea
Motacilla flava
Muscicapa striata
Oenanthe hispanica
Oenanthe leucura
Oenanthe oenanthe
Oriolus oriolus
Panurus biarmicus
Parus major
Periparus ater (= Parus ater)
Petronia petronia
Phoenicurus ochruros
Phoenicurus phoenicurus
Phylloscopus bonelli
Phylloscopus collybita
Phylloscopus ibericus
Phylloscopus sibilatrix
Phylloscopus trochilus
Plectrophenax nivalis
Poecile palustris (= Parus palustris)
Prunella collaris
Prunella modularis
Ptyonoprogne rupestris
Pyrrhocorax graculus
Pyrrhocorax pyrrhocorax
Pyrrhula pyrrhula
Regulus ignicapilla
Regulus regulus
Remiz pendulinus
Riparia riparia
Saxicola rubetra
Saxicola rubicola (= Saxicola torquata)
Serinus serinus
Sitta europaea
Spinus spinus (= Carduelis spinus)
Sylvia atricapilla
Sylvia borin
Tichodroma muraria
Troglodytes troglodytes
Turdus torquatus
Morus bassanus
Phalacrocorax aristotelis desmarestii
Dendrocopos major
Dendrocoptes medius (= Dendrocopos medius)
Dryobates minor (= Dendrocopos minor)
Dryocopus martius
Jynx torquilla
Picus sharpei (= Picus viridis sharpei)
Podiceps auritus
Podiceps cristatus
Podiceps nigricollis
Tachybaptus ruficollis
