scientificName
Felis silvestris
Sciurus vulgaris infuscatus
Mus spretus
Erinaceus europaeus
Mustela nivalis
Mustela lutreola
Tetrao urogallus aquitanicus
Meles meles
 Martes martes
Lutra lutra
Lynx pardinus
Lynx lynx
Canis lupus L.?
Vulpes vulpes?
Martes foina?
Genetta genetta?
Lepus europaeus
Ursus arctos pyrenaicus
Calotriton arnoldi
Blanus cinereus
Iberolacerta aranica
Iberolacerta aurelioi
Lacerta agilis
Emys orbicularis
Testudo hermanni
Apodemus sylvaticus
Alytes obstetricans?
Suncus etruscus
Sus scrofa or Sus scrofa castilianus
Testudo hermanni hermanni
