family,familykey,genus,genuskey,species,specieskey,IUCNGlobalScopeCategory,IUCNEuropeScopeCategory,IUCNMediterrScopeCategory,OtherNationalCategory,OtherRegionalCategory,IUCNHabitatCodes,IUCNSuitability_Suitable,IUCNMajorImportance_Yes,Analysis,Note
Leporidae,9379.0,Oryctolagus,2436939.0,Oryctolagus cuniculus,2436940.0,EN,,,,En perill d'extinció,,,,,
Mustelidae,5307.0,Lutra,8226627.0,Lutra lutra,2433753.0,NT,,,LESRPE,Protegida,"1.5,1.6,1.7,1.8,3.6,4.6,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,5.9,5.10,5.11,5.13,5.14,5.15,5.16,5.17,9.10,12.5,13.4,13.5,15.1,15.2,15.3,15.7,15.8,15.9","5.1,5.3,5.5,5.6,5.7,5.8,5.13,9.10,12.5,13.4,13.5,15.1,15.2,15.3,15.9","5.1,5.3,5.5,5.6,5.7,5.8,5.13,9.10,12.5,13.4,13.5,15.1,15.2,15.3,15.9",,
Delphinidae,5314.0,Delphinus,2440326.0,Delphinus delphis,8324617.0,LC,,,LESRPE,Vulnerable,,,,,
Delphinidae,5314.0,Grampus,5220026.0,Grampus griseus,5220027.0,LC,,,LESRPE,Vulnerable,,,,,
Delphinidae,5314.0,Globicephala,2440595.0,Globicephala macrorhynchus,2440605.0,LC,,,Vulnerable,,,,,,
Rhinolophidae,5449.0,Rhinolophus,2432611.0,Rhinolophus ferrumequinum,2432655.0,LC,,,Vulnerable,Vulnerable,,,,,
Delphinidae,5314.0,Stenella,2440546.0,Stenella coeruleoalba,5220055.0,LC,,,LESRPE,En perill d'extinció,,,,,
Delphinidae,5314.0,Tursiops,2440446.0,Tursiops truncatus,2440447.0,LC,,,Vulnerable,Vulnerable,,,,,
Hyperoodontidae,5316.0,Ziphius,2440368.0,Ziphius cavirostris,2440369.0,LC,,,Vulnerable,En perill d'extinció,,,,,
Rhinolophidae,5449.0,Rhinolophus,2432611.0,Rhinolophus euryale,2432621.0,NT,,,Vulnerable,En perill d'extinció,,,,,
Vespertilionidae,9368.0,Myotis,2432384.0,Myotis blythii,2432414.0,LC,,,Vulnerable,Vulnerable,,,,,
Vespertilionidae,9368.0,Pipistrellus,2432218.0,Pipistrellus pipistrellus,5218465.0,LC,,,LESRPE,Protegida,,,,,
Physeteridae,5446.0,Physeter,2440349.0,Physeter macrocephalus,8123917.0,VU,,,Vulnerable,Vulnerable,,,,,
Mustelidae,5307.0,Mustela,2433922.0,Mustela nivalis,5218987.0,LC,,,,Vulnerable,"1.1,1.2,1.4,3.3,3.4,4.2,4.4,5.3,6,13.3,14.1,14.2,14.4","1.1,1.2,1.4,3.3,3.4,4.2,4.4,5.3,13.3,14.1,14.2,14.4","1.1,1.2,1.4,3.3,3.4,4.2,4.4,13.3,14.4",,
Leporidae,9379.0,Lepus,2436691.0,Lepus europaeus,7952072.0,LC,,,,Extinta com a reproductora,,,,,
Suidae,5302.0,Sus,2441213.0,Sus scrofa,7705930.0,LC,,,,,,,,,
Sciuridae,9456.0,Sciurus,2437489.0,Sciurus vulgaris,8211070.0,LC,,,,Protegida,"1.1,1.4,14.3,14.4,14.5","1.1,1.4,14.3,14.4,14.5",,,
Canidae,9701.0,Vulpes,5219234.0,Vulpes vulpes,5219243.0,LC,,,,,,,,,
Bovidae,9614.0,Capra,2441047.0,Capra pyrenaica,2441054.0,LC,,,,En perill d'extinció,,,,,
Erinaceidae,5722.0,Erinaceus,8216553.0,Erinaceus europaeus,5219616.0,LC,,,,Protegida,"1.4,4.4,14.1,14.2,14.3,14.4,14.5","1.4,4.4,14.1,14.2,14.3,14.4,14.5",,,
Bovidae,9614.0,Ammotragus,2441004.0,Ammotragus lervia,2441005.0,VU,,,,Extinta com a reproductora,,,,,
Bovidae,9614.0,Rupicapra,5220169.0,Rupicapra pyrenaica,5220171.0,LC,,,,,,,,,
Cervidae,5298.0,Cervus,2440948.0,Cervus elaphus,2440958.0,LC,,,,En perill d'extinció,,,,,
Mustelidae,5307.0,Meles,2433867.0,Meles meles,2433875.0,LC,,,,,"1.1,1.4,3.3,3.4,4.4,4.5,8.3,14.2,14.4, 14.5","1.1,1.4,3.3,3.4,4.4,4.5,8.3,14.2,14.4, 14.5",,,
Mustelidae,5307.0,Martes,2433765.0,Martes foina,5218887.0,LC,,,,,"1.4,3.4,6,14.2,14.4,14.5","1.4,3.4,14.2,14.4,14.5",,,
Delphinidae,5314.0,Globicephala,2440595.0,Globicephala melas,2440596.0,LC,,,Vulnerable,Vulnerable,,,,,
Cricetidae,3240723.0,Arvicola,2438490.0,Arvicola sapidus,2438492.0,VU,,,,Vulnerable,,,,,
Vespertilionidae,9368.0,Nyctalus,5218521.0,Nyctalus leisleri,5218522.0,LC,,,LESRPE,Extinta com a reproductora,,,,,
Muridae,5510.0,Rattus,2439223.0,Rattus norvegicus,2439261.0,LC,,,,,,,,,
Gliridae,3240562.0,Eliomys,2439682.0,Eliomys quercinus,2439683.0,NT,,,,,"1.4,6,14.3,14.4","1.4,14.3,14.4",,,
Sciuridae,9456.0,Marmota,2437364.0,Marmota marmota,2437377.0,LC,,,,,,,,,
Leporidae,9379.0,Lepus,2436691.0,Lepus granatensis,2436790.0,LC,,,,Extinta com a reproductora,"1.4,3.4,4.4,14.1","1.4,3.4,4.4,14.1",,,
Cervidae,5298.0,Capreolus,2440927.0,Capreolus capreolus,5220126.0,LC,,,,En perill d'extinció,"1.1,1.2,1.4,3.3,3.4,4.4,5.1,5.2,5.3,14.1,14.2,14.3,14.4,14.5","1.1,1.2,1.4,3.3,3.4,4.4,14.2","1.1,1.2,1.4,3.3,3.4,4.4,14.2",,
Cricetidae,3240723.0,Microtus,2438591.0,Microtus cabrerae,2438668.0,NT,,,,En perill d'extinció,,,,,
Delphinidae,5314.0,Steno,2440432.0,Steno bredanensis,2440433.0,LC,,,LESRPE,,,,,,
Vespertilionidae,9368.0,Pipistrellus,2432218.0,Pipistrellus kuhlii,5218464.0,LC,,,LESRPE,Protegida,,,,,
Delphinidae,5314.0,Stenella,2440546.0,Stenella frontalis,5220045.0,LC,,,LESRPE,,,,,,
Talpidae,9469.0,Talpa,2436127.0,Talpa occidentalis,2436152.0,LC,,,,,"1.4,3.4,4.4,14.2,14.4","1.4,3.4,4.4,14.2,14.4",,,
Balaenopteridae,5313.0,Balaenoptera,2440708.0,Balaenoptera physalus,2440718.0,VU,,,Vulnerable,Vulnerable,,,,,
Vespertilionidae,9368.0,Pipistrellus,2432218.0,Pipistrellus pygmaeus,5707150.0,LC,,,LESRPE,Protegida,,,,,
Rhinolophidae,5449.0,Rhinolophus,2432611.0,Rhinolophus hipposideros,2432614.0,LC,,,LESRPE,Protegida,,,,,
Vespertilionidae,9368.0,Eptesicus,2432345.0,Eptesicus serotinus,2432359.0,LC,,,LESRPE,Protegida,,,,,
Herpestidae,9678.0,Herpestes,2434243.0,Herpestes ichneumon,2434255.0,LC,,,,,,,,,
Muridae,5510.0,Apodemus,2437754.0,Apodemus sylvaticus,2437760.0,LC,,,,,,,,,
Vespertilionidae,9368.0,Nyctalus,5218521.0,Nyctalus lasiopterus,5218525.0,VU,,,Vulnerable,Extinta com a reproductora,,,,,
Vespertilionidae,9368.0,Myotis,2432384.0,Myotis daubentonii,2432439.0,LC,,,LESRPE,Protegida,,,,,
Sciuridae,9456.0,Atlantoxerus,2437469.0,Atlantoxerus getulus,2437470.0,LC,,,,,,,,,
Viverridae,5312.0,Genetta,5219341.0,Genetta genetta,5219362.0,LC,,,,,"1.4,1.5,1.6,2.1,2.2,3.4,3.5,3.6,3.8,6,14.3,14.4","1.4,1.5,1.6,2.1,2.2,3.4,3.5,3.6,3.8,6,14.3,14.4",,,
Mustelidae,5307.0,Martes,2433765.0,Martes martes,5218878.0,LC,,,,Protegida,"1.1,1.4,3.3,3.4,14.3","1.1,1.4,14.3","1.1,1.4",,
Miniopteridae,7456382.0,Miniopterus,2432501.0,Miniopterus schreibersii,9796816.0,VU,,,Vulnerable,Vulnerable,,,,,
Felidae,9703.0,Felis,2435022.0,Felis silvestris,7964291.0,LC,,,LESRPE,Protegida,"1.4,1.5,3.4,3.8,4.4,5.3,5.4,6,14.1,14.2,14.3","1.4,1.5,3.4,3.8,5.3","1.4,1.5,3.4,3.8",,
Molossidae,5719.0,Tadarida,2433008.0,Tadarida teniotis,2433009.0,LC,,,LESRPE,Protegida,,,,,
Mustelidae,5307.0,Mustela,2433922.0,Mustela vison,5218823.0,LC,,,,,,,,,
Muridae,5510.0,Rattus,2439223.0,Rattus rattus,2439270.0,LC,,,,,,,,,
Phocoenidae,9361.0,Phocoena,2440664.0,Phocoena phocoena,2440669.0,LC,,,En peligro de extinción,,,,,,
Cervidae,5298.0,Dama,8397832.0,Dama dama,5220136.0,LC,,,,,"1.4,3.4,3.8,4.4,14.2,14.3,","1.4,3.4,3.8,4.4",3.4,,
Erinaceidae,5722.0,Atelerix,2437131.0,Atelerix algirus,2437136.0,LC,,,LESRPE,,"1.1,3.8,4.4,14.1,14.2,14.4","1.1,3.8,4.4,14.1,14.2,14.4",,,
Castoridae,5493.0,Castor,3240758.0,Castor fiber,4409131.0,LC,,,LESRPE,En perill d'extinció,,,,,
Myocastoridae,3240572.0,Myocastor,3240573.0,Myocastor coypus,4264680.0,LC,,,,En perill d'extinció,,,,,
